sampling time,larva,post_larva,total,drag distance_100meter,tick_density_larva,tick_density_post_larva,tick_density_total
2020/4/23,0,22,22,5,0.00 ,4.40 ,4.40 
2020/4/23,0,14,14,5,0.00 ,2.80 ,2.80 
2020/4/23,0,1,1,5,0.00 ,0.20 ,0.20 
2020/4/24,0,2,2,1,0.00 ,2.00 ,2.00 
2020/4/27,0,12,12,5,0.00 ,2.40 ,2.40 
2020/4/28,0,5,5,5,0.00 ,1.00 ,1.00 
2020/4/28,0,1,1,5,0.00 ,0.20 ,0.20 
2020/5/13,1,0,3,1.25,0.80 ,0.00 ,2.40 
2020/5/14,15,0,15,5.5,2.73 ,0.00 ,2.73 
2020/6/10,0,3,8,1,0.00 ,3.00 ,8.00 
2020/6/11,0,51,51,1,0.00 ,51.00 ,51.00 
2020/6/11,0,5,10,10,0.00 ,0.50 ,1.00 
2020/6/11,0,0,9,5,0.00 ,0.00 ,1.80 
2020/6/11,0,0,8,5,0.00 ,0.00 ,1.60 
2020/6/11,0,1,5,1,0.00 ,1.00 ,5.00 
2020/6/12,0,0,5,5,0.00 ,0.00 ,1.00 
2020/6/16,2,0,2,5.2,0.38 ,0.00 ,0.38 
2020/6/17,2,0,2,5,0.40 ,0.00 ,0.40 
2020/6/18,0,0,5,1.2,0.00 ,0.00 ,4.17 
2020/6/19,0,0,3,5,0.00 ,0.00 ,0.60 
2020/6/22,0,3,5,5,0.00 ,0.60 ,1.00 
2020/6/22,0,4,4,5,0.00 ,0.80 ,0.80 
2020/6/24,0,0,4,5,0.00 ,0.00 ,0.80 
2020/6/24,0,3,3,5,0.00 ,0.60 ,0.60 
2020/6/28,0,0,32,5,0.00 ,0.00 ,6.40 
2020/6/28,3,0,4,5,0.60 ,0.00 ,0.80 
2020/7/2,0,48,48,5,0.00 ,9.60 ,9.60 
2020/7/2,0,3,3,5,0.00 ,0.60 ,0.60 
2020/9/7,110,6,116,5,22.00 ,1.20 ,23.20 
2020/9/8,13,0,13,5,2.60 ,0.00 ,2.60 
2020/9/11,0,5,5,10,0.00 ,0.50 ,0.50 
2020/9/14,1,0,1,1.25,0.80 ,0.00 ,0.80 
2020/9/15,1,1,2,1.25,0.80 ,0.80 ,1.60 
2020/9/16,0,25,25,10,0.00 ,2.50 ,2.50 
2020/9/17,0,10,10,5,0.00 ,2.00 ,2.00 
2020/9/17,0,5,5,5,0.00 ,1.00 ,1.00 
2020/9/18,1,1,2,5,0.20 ,0.20 ,0.40 
2020/9/22,0,5,9,1,0.00 ,5.00 ,9.00 
2020/9/24,0,3,6,1,0.00 ,3.00 ,6.00 
2020/9/24,2,0,2,5,0.40 ,0.00 ,0.40 
2020/9/24,1,0,1,5,0.20 ,0.00 ,0.20 
2020/9/25,74,1,75,5,14.80 ,0.20 ,15.00 
2020/9/28,42,0,45,5,8.40 ,0.00 ,9.00 
2020/10/12,3,0,3,5,0.60 ,0.00 ,0.60 
2020/10/13,7,0,7,5,1.40 ,0.00 ,1.40 
2021/4/7,0,10,10,10,0.00 ,1.00 ,1.00 
2021/4/9,0,1,1,5,0.00 ,0.20 ,0.20 
2021/4/9,0,1,1,2,0.00 ,0.50 ,0.50 
2021/4/13,0,0,18,1,0.00 ,0.00 ,18.00 
2021/4/13,0,1,5,1,0.00 ,1.00 ,5.00 
2021/4/13,0,1,1,5,0.00 ,0.20 ,0.20 
2021/4/14,0,72,72,5,0.00 ,14.40 ,14.40 
2021/4/14,0,71,71,5,0.00 ,14.20 ,14.20 
2021/4/14,0,10,20,1,0.00 ,10.00 ,20.00 
2021/4/14,3,9,13,1,3.00 ,9.00 ,13.00 
2021/4/14,0,10,10,1,0.00 ,10.00 ,10.00 
2021/4/14,0,1,1,6.5,0.00 ,0.15 ,0.15 
2021/4/15,0,125,125,5,0.00 ,25.00 ,25.00 
2021/4/15,0,58,58,5,0.00 ,11.60 ,11.60 
2021/4/15,0,9,9,1,0.00 ,9.00 ,9.00 
2021/4/16,0,35,35,5,0.00 ,7.00 ,7.00 
2021/4/16,25,0,25,5.2,4.81 ,0.00 ,4.81 
2021/4/16,22,0,22,5.5,4.00 ,0.00 ,4.00 
2021/4/16,0,8,8,3.19,0.00 ,2.51 ,2.51 
2021/4/16,0,6,6,5,0.00 ,1.20 ,1.20 
2021/4/20,0,4,11,4,0.00 ,1.00 ,2.75 
2021/4/29,1,1,5,1,1.00 ,1.00 ,5.00 
2021/4/29,2,1,4,1,2.00 ,1.00 ,4.00 
2021/4/29,0,0,2,1,0.00 ,0.00 ,2.00 
2021/5/8,0,3,3,5,0.00 ,0.60 ,0.60 
2021/5/9,0,2,2,5,0.00 ,0.40 ,0.40 
2021/5/10,4,55,59,5,0.80 ,11.00 ,11.80 
2021/5/10,0,3,3,10,0.00 ,0.30 ,0.30 
2021/5/13,1,0,4,1,1.00 ,0.00 ,4.00 
2021/5/13,0,1,2,3,0.00 ,0.33 ,0.67 
2021/5/18,0,5,6,1,0.00 ,5.00 ,6.00 
2021/5/18,0,0,1,5,0.00 ,0.00 ,0.20 
2021/5/18,1,0,1,5,0.20 ,0.00 ,0.20 
2021/5/19,0,2,2,8,0.00 ,0.25 ,0.25 
2021/5/19,0,1,1,5,0.00 ,0.20 ,0.20 
2021/5/20,0,40,40,5,0.00 ,8.00 ,8.00 
2021/5/20,0,30,30,5,0.00 ,6.00 ,6.00 
2021/5/20,0,1,2,3,0.00 ,0.33 ,0.67 
2021/5/21,0,6,6,5,0.00 ,1.20 ,1.20 
2021/5/24,0,8,8,5,0.00 ,1.60 ,1.60 
2021/5/31,0,4,7,5,0.00 ,0.80 ,1.40 
2021/6/6,0,2,2,5,0.00 ,0.40 ,0.40 
2021/7/10,0,1,1,5,0.00 ,0.20 ,0.20 
2021/7/10,0,1,1,5,0.00 ,0.20 ,0.20 
2021/7/13,0,4,7,5,0.00 ,0.80 ,1.40 
2021/7/13,0,3,3,5,0.00 ,0.60 ,0.60 
2021/7/14,0,4,6,2.98,0.00 ,1.34 ,2.01 
2021/7/14,1,0,4,1,1.00 ,0.00 ,4.00 
2021/7/14,0,0,2,1,0.00 ,0.00 ,2.00 
2021/7/15,0,12,19,5,0.00 ,2.40 ,3.80 
2021/7/15,0,0,12,5,0.00 ,0.00 ,2.40 
2021/7/16,0,1,6,4,0.00 ,0.25 ,1.50 
2021/7/16,3,0,4,5,0.60 ,0.00 ,0.80 
2021/7/19,0,1,1,6,0.00 ,0.17 ,0.17 
2021/7/20,0,0,10,5,0.00 ,0.00 ,2.00 
2021/7/22,0,0,5,5,0.00 ,0.00 ,1.00 
2021/7/27,0,0,2,5,0.00 ,0.00 ,0.40 
2021/9/11,0,5,5,10,0.00 ,0.50 ,0.50 
2021/9/14,0,1,3,5,0.00 ,0.20 ,0.60 
2021/9/16,203,0,204,5,40.60 ,0.00 ,40.80 
2021/9/17,63,2,66,5,12.60 ,0.40 ,13.20 
2021/9/18,0,0,3,1,0.00 ,0.00 ,3.00 
2021/9/18,1,0,2,1,1.00 ,0.00 ,2.00 
2021/9/22,0,0,8,5,0.00 ,0.00 ,1.60 
2021/9/23,60,13,73,5,12.00 ,2.60 ,14.60 
2021/9/23,45,0,48,5,9.00 ,0.00 ,9.60 
2021/9/23,31,2,33,5,6.20 ,0.40 ,6.60 
2021/9/23,7,0,8,5,1.40 ,0.00 ,1.60 
2021/9/23,0,5,5,5,0.00 ,1.00 ,1.00 
2021/9/23,0,1,1,5,0.00 ,0.20 ,0.20 
2021/9/24,3,1,4,5,0.60 ,0.20 ,0.80 
2022/4/5,12,38,56,5,2.40 ,7.60 ,11.20 
2022/4/11,0,5,5,5,0.00 ,1.00 ,1.00 
2022/4/12,0,33,33,5,0.00 ,6.60 ,6.60 
2022/4/12,0,12,12,5,0.00 ,2.40 ,2.40 
2022/4/13,0,1,1,5,0.00 ,0.20 ,0.20 
2022/4/14,0,1,1,5,0.00 ,0.20 ,0.20 
2022/4/15,1,0,4,5,0.20 ,0.00 ,0.80 
2022/4/15,0,0,1,5,0.00 ,0.00 ,0.20 
2022/4/21,0,3,3,20,0.00 ,0.15 ,0.15 
2022/4/22,0,35,35,10,0.00 ,3.50 ,3.50 
2022/4/22,0,10,10,10,0.00 ,1.00 ,1.00 
2022/4/22,1,0,1,21,0.05 ,0.00 ,0.05 
2022/4/22,0,0,1,15,0.00 ,0.00 ,0.07 
2022/4/24,11,9,25,5,2.20 ,1.80 ,5.00 
2022/4/24,3,1,6,5,0.60 ,0.20 ,1.20 
2022/4/27,0,5,5,5,0.00 ,1.00 ,1.00 
2022/4/27,0,3,3,5,0.00 ,0.60 ,0.60 
2022/4/28,0,227,227,20,0.00 ,11.35 ,11.35 
2022/5/12,0,31,31,6,0.00 ,5.17 ,5.17 
2022/5/13,0,0,6,15,0.00 ,0.00 ,0.40 
2022/5/16,2,0,2,5,0.40 ,0.00 ,0.40 
2022/5/17,24,34,87,5,4.80 ,6.80 ,17.40 
2022/5/17,0,0,4,5,0.00 ,0.00 ,0.80 
2022/5/17,0,3,1,5,0.00 ,0.60 ,0.20 
2022/5/18,1,0,5,5,0.20 ,0.00 ,1.00 
2022/5/18,0,3,3,5,0.00 ,0.60 ,0.60 
2022/5/18,0,0,2,5,0.00 ,0.00 ,0.40 
2022/5/18,0,2,2,4,0.00 ,0.50 ,0.50 
2022/5/19,0,0,2,5,0.00 ,0.00 ,0.40 
2022/5/19,0,0,1,4,0.00 ,0.00 ,0.25 
2022/5/22,0,103,103,20,0.00 ,5.15 ,5.15 
2022/5/23,0,0,29,10,0.00 ,0.00 ,2.90 
2022/5/24,0,30,30,10,0.00 ,3.00 ,3.00 
2022/5/24,0,3,3,5,0.00 ,0.60 ,0.60 
2022/5/24,0,0,3,5,0.00 ,0.00 ,0.60 
2022/5/24,0,1,1,5,0.00 ,0.20 ,0.20 
2022/5/25,0,3,3,4,0.00 ,0.75 ,0.75 
2022/5/26,1,1,2,21,0.05 ,0.05 ,0.10 
2022/5/27,0,53,55,5,0.00 ,10.60 ,11.00 
2022/5/27,0,7,7,5,0.00 ,1.40 ,1.40 
2022/5/27,0,6,7,5,0.00 ,1.20 ,1.40 
2022/7/12,1,0,5,5,0.20 ,0.00 ,1.00 
2022/7/12,0,1,1,5,0.00 ,0.20 ,0.20 
2022/7/13,3,0,32,5,0.60 ,0.00 ,6.40 
2022/7/13,0,0,22,5,0.00 ,0.00 ,4.40 
2022/7/13,1,0,2,5,0.20 ,0.00 ,0.40 
2022/7/15,0,0,2,5,0.00 ,0.00 ,0.40 
2022/7/15,0,0,1,10,0.00 ,0.00 ,0.10 
2022/7/17,0,0,6,10,0.00 ,0.00 ,0.60 
2022/7/18,3,3,11,12,0.25 ,0.25 ,0.92 
2022/7/19,0,0,37,6,0.00 ,0.00 ,6.17 
2022/7/19,10,6,16,5,2.00 ,1.20 ,3.20 
2022/7/19,0,0,4,5,0.00 ,0.00 ,0.80 
2022/7/20,25,8,33,12,2.08 ,0.67 ,2.75 
2022/7/20,0,0,1,35,0.00 ,0.00 ,0.03 
2022/7/22,0,3,10,5,0.00 ,0.60 ,2.00 
2022/7/22,1,0,1,10,0.10 ,0.00 ,0.10 
2022/7/24,0,0,4,5,0.00 ,0.00 ,0.80 
2022/7/24,1,0,1,21,0.05 ,0.00 ,0.05 
2022/7/24,0,0,1,5,0.00 ,0.00 ,0.20 
2022/7/25,1,1,3,5,0.20 ,0.20 ,0.60 
2022/7/27,0,0,1,7.5,0.00 ,0.00 ,0.13 
2022/9/5,0,5,5,5,0.00 ,1.00 ,1.00 
2022/9/7,0,8,11,15,0.00 ,0.53 ,0.73 
2022/9/7,0,4,4,5,0.00 ,0.80 ,0.80 
2022/9/8,6,0,6,10,0.60 ,0.00 ,0.60 
2022/9/9,291,2,293,8,36.38 ,0.25 ,36.63 
2022/9/12,2,0,2,10,0.20 ,0.00 ,0.20 
2022/9/14,0,3,6,10,0.00 ,0.30 ,0.60 
2022/9/16,10,2,12,8,1.25 ,0.25 ,1.50 
2022/9/16,0,1,1,10,0.00 ,0.10 ,0.10 
2022/9/19,36,5,31,5,7.20 ,1.00 ,6.20 
2022/9/20,1,1,2,5,0.20 ,0.20 ,0.40 
2022/9/27,0,1,1,21,0.00 ,0.05 ,0.05 
2022/9/28,0,0,4,5,0.00 ,0.00 ,0.80 
2022/9/29,119,0,130,10,11.90 ,0.00 ,13.00 
2022/9/29,20,0,20,5,4.00 ,0.00 ,4.00 
2023/4/6,0,35,35,50,0.00 ,0.70 ,0.70 
2023/4/6,0,25,25,5,0.00 ,5.00 ,5.00 
2023/4/6,0,4,4,15,0.00 ,0.27 ,0.27 
2023/4/7,0,6,6,10,0.00 ,0.60 ,0.60 
2023/4/10,0,2,2,5,0.00 ,0.40 ,0.40 
2023/4/10,0,2,2,5,0.00 ,0.40 ,0.40 
2023/4/12,0,25,25,5,0.00 ,5.00 ,5.00 
2023/4/12,0,9,9,5,0.00 ,1.80 ,1.80 
2023/4/12,0,2,2,10,0.00 ,0.20 ,0.20 
2023/4/13,0,25,25,33,0.00 ,0.76 ,0.76 
2023/4/13,0,16,16,10,0.00 ,1.60 ,1.60 
2023/4/13,0,15,15,22,0.00 ,0.68 ,0.68 
2023/4/13,0,15,15,22,0.00 ,0.68 ,0.68 
2023/4/13,0,0,15,20,0.00 ,0.00 ,0.75 
2023/4/13,0,11,12,8,0.00 ,1.38 ,1.50 
2023/4/13,0,12,12,5,0.00 ,2.40 ,2.40 
2023/4/14,0,5,5,10,0.00 ,0.50 ,0.50 
2023/4/14,0,1,1,15,0.00 ,0.07 ,0.07 
2023/4/14,0,1,1,15,0.00 ,0.07 ,0.07 
2023/4/14,0,1,1,5,0.00 ,0.20 ,0.20 
2023/4/17,0,0,63,5,0.00 ,0.00 ,12.60 
2023/4/18,12,18,30,10,1.20 ,1.80 ,3.00 
2023/4/18,0,15,25,20,0.00 ,0.75 ,1.25 
2023/4/18,5,0,5,10,0.50 ,0.00 ,0.50 
2023/4/19,0,15,19,30,0.00 ,0.50 ,0.63 
2023/4/19,0,1,1,5,0.00 ,0.20 ,0.20 
2023/4/19,0,1,1,5,0.00 ,0.20 ,0.20 
2023/4/20,30,0,52,5,6.00 ,0.00 ,10.40 
2023/4/21,0,10,10,10,0.00 ,1.00 ,1.00 
2023/4/21,0,0,2,5,0.00 ,0.00 ,0.40 
2023/4/26,2,15,20,5,0.40 ,3.00 ,4.00 
2023/5/9,1,0,1,5,0.20 ,0.00 ,0.20 
2023/5/9,1,0,1,5,0.20 ,0.00 ,0.20 
2023/5/9,0,1,1,5,0.00 ,0.20 ,0.20 
2023/5/10,15,0,15,10,1.50 ,0.00 ,1.50 
2023/5/10,0,9,9,30,0.00 ,0.30 ,0.30 
2023/5/10,3,2,5,10,0.30 ,0.20 ,0.50 
2023/5/10,0,2,2,10,0.00 ,0.20 ,0.20 
2023/5/11,0,0,2,10,0.00 ,0.00 ,0.20 
2023/5/12,0,189,189,5,0.00 ,37.80 ,37.80 
2023/5/12,0,28,29,10,0.00 ,2.80 ,2.90 
2023/5/12,0,11,11,5,0.00 ,2.20 ,2.20 
2023/5/12,0,8,8,5,0.00 ,1.60 ,1.60 
2023/5/12,0,7,7,5,0.00 ,1.40 ,1.40 
2023/5/12,0,1,1,5,0.00 ,0.20 ,0.20 
2023/5/15,0,0,51,50,0.00 ,0.00 ,1.02 
2023/5/15,0,14,14,5,0.00 ,2.80 ,2.80 
2023/5/15,0,6,6,15,0.00 ,0.40 ,0.40 
2023/5/15,0,4,4,24,0.00 ,0.17 ,0.17 
2023/5/15,0,4,4,15,0.00 ,0.27 ,0.27 
2023/5/15,2,0,2,10,0.20 ,0.00 ,0.20 
2023/5/15,0,2,2,5,0.00 ,0.40 ,0.40 
2023/5/15,0,1,1,8,0.00 ,0.13 ,0.13 
2023/5/16,1,10,11,5,0.20 ,2.00 ,2.20 
2023/5/16,0,10,10,5,0.00 ,2.00 ,2.00 
2023/5/16,0,8,8,5,0.00 ,1.60 ,1.60 
2023/5/16,0,0,2,15,0.00 ,0.00 ,0.13 
2023/5/17,0,6,6,10,0.00 ,0.60 ,0.60 
2023/5/18,0,35,35,5,0.00 ,7.00 ,7.00 
2023/5/19,0,0,2,8,0.00 ,0.00 ,0.25 
2023/5/19,0,2,2,5,0.00 ,0.40 ,0.40 
2023/5/19,0,2,2,3,0.00 ,0.67 ,0.67 
2023/5/19,0,1,1,5,0.00 ,0.20 ,0.20 
2023/5/23,0,9,9,5,0.00 ,1.80 ,1.80 
2023/5/24,0,4,20,15,0.00 ,0.27 ,1.33 
2023/5/24,0,12,12,5,0.00 ,2.40 ,2.40 
2023/5/25,0,10,14,5,0.00 ,2.00 ,2.80 
2023/5/25,0,5,5,5,0.00 ,1.00 ,1.00 
2023/5/25,0,4,5,5,0.00 ,0.80 ,1.00 
2023/6/6,0,4,5,8,0.00 ,0.50 ,0.63 
2023/6/6,0,2,2,5,0.00 ,0.40 ,0.40 
2023/6/6,0,1,1,5,0.00 ,0.20 ,0.20 
2023/6/15,0,5,5,10,0.00 ,0.50 ,0.50 
2023/6/28,0,1,1,10,0.00 ,0.10 ,0.10 
2023/7/11,0,2,12,10,0.00 ,0.20 ,1.20 
2023/7/11,3,1,5,10,0.30 ,0.10 ,0.50 
2023/7/12,14,0,16,10,1.40 ,0.00 ,1.60 
2023/7/13,108,3,111,15,7.20 ,0.20 ,7.40 
2023/7/13,0,23,23,5,0.00 ,4.60 ,4.60 
2023/7/13,0,2,8,5,0.00 ,0.40 ,1.60 
2023/7/13,2,0,2,10,0.20 ,0.00 ,0.20 
2023/7/13,0,0,1,5,0.00 ,0.00 ,0.20 
2023/7/14,0,2,18,5,0.00 ,0.40 ,3.60 
2023/7/15,3,5,8,10,0.30 ,0.50 ,0.80 
2023/7/17,0,1,2,5,0.00 ,0.20 ,0.40 
2023/7/17,0,0,1,5,0.00 ,0.00 ,0.20 
2023/7/18,0,2,21,15,0.00 ,0.13 ,1.40 
2023/7/18,0,0,1,15,0.00 ,0.00 ,0.07 
2023/7/18,0,1,1,5,0.00 ,0.20 ,0.20 
2023/7/19,24,1,25,5,4.80 ,0.20 ,5.00 
2023/7/19,1,1,2,5,0.20 ,0.20 ,0.40 
2023/7/19,1,1,2,5,0.20 ,0.20 ,0.40 
2023/7/25,0,0,17,5,0.00 ,0.00 ,3.40 
2023/7/26,0,2,10,5,0.00 ,0.40 ,2.00 
2023/7/26,0,1,2,5,0.00 ,0.20 ,0.40 
2023/7/28,0,0,3,10,0.00 ,0.00 ,0.30 
2023/8/2,0,25,25,10,0.00 ,2.50 ,2.50 
2023/8/2,0,15,15,10,0.00 ,1.50 ,1.50 
2023/8/7,0,1,1,10,0.00 ,0.10 ,0.10 
2023/8/9,0,2,2,30,0.00 ,0.07 ,0.07 
2023/8/10,0,1,1,5,0.00 ,0.20 ,0.20 
2023/8/10,0,0,1,5,0.00 ,0.00 ,0.20 
2023/8/27,0,2,5,20,0.00 ,0.10 ,0.25 
2023/8/27,0,0,2,20,0.00 ,0.00 ,0.10 
2023/9/7,45,118,163,10,4.50 ,11.80 ,16.30 
2023/9/8,155,14,169,5,31.00 ,2.80 ,33.80 
2023/9/10,8,0,8,10,0.80 ,0.00 ,0.80 
2023/9/11,50,0,54,15,3.33 ,0.00 ,3.60 
2023/9/11,50,0,50,15,3.33 ,0.00 ,3.33 
2023/9/11,0,1,1,15,0.00 ,0.07 ,0.07 
2023/9/12,1,0,1,5,0.20 ,0.00 ,0.20 
2023/9/12,1,0,1,5,0.20 ,0.00 ,0.20 
2023/9/13,0,0,2,5,0.00 ,0.00 ,0.40 
2023/9/15,42,0,43,5,8.40 ,0.00 ,8.60 
2023/9/18,13,32,70,5,2.60 ,6.40 ,14.00 
2023/9/18,43,3,46,10,4.30 ,0.30 ,4.60 
2023/9/18,0,0,1,5,0.00 ,0.00 ,0.20 
2023/9/20,2,0,7,5,0.40 ,0.00 ,1.40 
2023/9/21,7,0,7,5,1.40 ,0.00 ,1.40 
2023/9/25,47,2,49,8,5.88 ,0.25 ,6.13 
2023/9/27,13,0,13,20,0.65 ,0.00 ,0.65 
2023/9/27,2,0,2,5,0.40 ,0.00 ,0.40 
2023/10/7,0,2,4,5,0.00 ,0.40 ,0.80 
2023/10/11,73,23,97,32,2.28 ,0.72 ,3.03 
2023/11/8,41,23,64,16,2.56 ,1.44 ,4.00 
2023/11/14,0,2,2,10,0.00 ,0.20 ,0.20 
2024/4/7,10,37,48,8,1.25 ,4.63 ,6.00 
2024/4/9,0,4,4,10,0.00 ,0.40 ,0.40 
2024/4/10,0,4,4,8,0.00 ,0.50 ,0.50 
2024/4/10,0,2,2,30,0.00 ,0.07 ,0.07 
2024/4/11,0,18,18,5,0.00 ,3.60 ,3.60 
2024/4/11,0,0,3,5,0.00 ,0.00 ,0.60 
2024/4/12,0,6,6,5,0.00 ,1.20 ,1.20 
2024/4/15,0,28,28,5,0.00 ,5.60 ,5.60 
2024/4/15,0,14,14,5,0.00 ,2.80 ,2.80 
2024/4/15,0,14,14,5,0.00 ,2.80 ,2.80 
2024/4/18,60,74,141,40,1.50 ,1.85 ,3.53 
2024/4/18,0,0,15,5,0.00 ,0.00 ,3.00 
2024/4/18,0,13,13,12,0.00 ,1.08 ,1.08 
2024/4/18,0,0,2,5,0.00 ,0.00 ,0.40 
2024/4/18,0,1,1,8,0.00 ,0.13 ,0.13 
2024/4/23,12,9,22,5,2.40 ,1.80 ,4.40 
2024/4/24,2,49,51,5,0.40 ,9.80 ,10.20 
2024/4/24,8,26,34,5,1.60 ,5.20 ,6.80 
2024/5/7,0,14,15,6,0.00 ,2.33 ,2.50 
2024/5/8,1,26,36,5,0.20 ,5.20 ,7.20 
2024/5/9,0,30,30,5,0.00 ,6.00 ,6.00 
2024/5/9,0,24,24,5,0.00 ,4.80 ,4.80 
2024/5/15,0,5,5,10,0.00 ,0.50 ,0.50 
2024/5/16,43,77,126,40,1.08 ,1.93 ,3.15 
2024/5/21,0,18,19,12,0.00 ,1.50 ,1.58 
2024/5/23,0,202,216,5,0.00 ,40.40 ,43.20 
2024/5/23,0,0,1,5,0.00 ,0.00 ,0.20 
2024/6/6,0,2,2,7.5,0.00 ,0.27 ,0.27 
2024/6/12,0,2,6,10,0.00 ,0.20 ,0.60 
2024/6/13,1,9,18,10,0.10 ,0.90 ,1.80 
2024/6/13,0,1,5,10,0.00 ,0.10 ,0.50 
2024/6/17,0,53,102,8,0.00 ,6.63 ,12.75 
2024/6/18,0,3,3,7.5,0.00 ,0.40 ,0.40 
2024/7/4,0,2,2,5,0.00 ,0.40 ,0.40 
2024/7/5,0,11,60,8,0.00 ,1.38 ,7.50 
2024/7/5,0,0,2,10,0.00 ,0.00 ,0.20 
2024/7/12,0,0,10,12,0.00 ,0.00 ,0.83 
2024/7/12,5,1,6,12,0.42 ,0.08 ,0.50 
2024/7/16,128,0,129,5,25.60 ,0.00 ,25.80 
2024/7/16,0,5,6,5,0.00 ,1.00 ,1.20 
2024/7/18,0,6,12,9,0.00 ,0.67 ,1.33 
2024/7/25,20,38,216,5,4.00 ,7.60 ,43.20 
2024/8/2,0,0,4,10,0.00 ,0.00 ,0.40 
2024/8/2,0,0,1,10,0.00 ,0.00 ,0.10 
2024/8/19,0,0,38,8,0.00 ,0.00 ,4.75 
2024/8/21,0,0,3,8,0.00 ,0.00 ,0.38 
2024/9/13,0,5,6,8,0.00 ,0.63 ,0.75 
2024/9/14,5,0,5,5,1.00 ,0.00 ,1.00 
2024/9/14,2,0,2,5,0.40 ,0.00 ,0.40 
2024/9/14,1,0,1,5,0.20 ,0.00 ,0.20 
2024/9/14,0,0,1,5,0.00 ,0.00 ,0.20 
2024/9/14,0,0,1,5,0.00 ,0.00 ,0.20 
2024/9/15,0,0,1,5,0.00 ,0.00 ,0.20 
2024/9/15,0,0,1,5,0.00 ,0.00 ,0.20 
2024/9/19,0,9,9,5,0.00 ,1.80 ,1.80 
2024/9/24,9,221,231,5,1.80 ,44.20 ,46.20 
2024/10/21,78,0,80,10,7.80 ,0.00 ,8.00 
2024/10/21,10,0,10,10,1.00 ,0.00 ,1.00 
