"section","metric","value","month","n","mean","sd","se","median","min","max","analysis","test","W","p_value","df1","df2","F","note","comparison","mean_difference","lower_95_ci","upper_95_ci","p_adjusted"
"overall_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density","One-way ANOVA",NA,0.726166130266519,8,114,0.659284970356748,NA,NA,NA,NA,NA,NA
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"April-March",0.977228711761881,-5.18644506236118,7.14090248588494,0.999890260835271
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"May-March",0.405645160999977,-5.78340787507378,6.59469819707373,0.999999887996618
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"June-March",-0.0722222223333565,-7.10617470885467,6.96173026418796,1
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"July-March",0.478787878454524,-5.88366153726692,6.84123729417596,0.999999665766768
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"August-March",-0.112121212454569,-6.47457062817601,6.25032820326687,0.99999999999691
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"September-March",0.694696954181799,-5.53379115508652,6.92318506345012,0.999992659381825
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"October-March",-0.216666667000017,-8.83146390047912,8.39813056647908,0.999999999945686
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"November-March",-0.0166666670000175,-8.63146390047912,8.59813056647908,1
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"May-April",-0.571583550761903,-2.01398450167223,0.870817400148427,0.942400444240097
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"June-April",-1.04945093409524,-4.68986720184439,2.59096533365392,0.991910833368403
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"July-April",-0.498440833307357,-2.56166781729806,1.56478615068334,0.997589023343815
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"August-April",-1.08934992421645,-3.15257690820715,0.973877059774249,0.763495345424843
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"September-April",-0.282531757580082,-1.88571831788743,1.32065480272726,0.99975684545527
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"October-April",-1.1938953787619,-7.35756915288496,4.96977839536116,0.999509700566276
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"November-April",-0.993895378761898,-7.15756915288496,5.16977839536116,0.999875286670357
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"June-May",-0.477867383333334,-4.16109065813138,3.20535589146471,0.999976306145056
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"July-May",0.0731427174545464,-2.06470869856778,2.21099413347688,0.999999999365552
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"August-May",-0.517766373454546,-2.65561778947688,1.62008504256779,0.997546123758226
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"September-May",0.289051793181822,-1.40909726878872,1.98720085515236,0.99981253966906
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"October-May",-0.622311827999995,-6.81136486407375,5.56674120807376,0.99999673231637
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"November-May",-0.422311827999995,-6.61136486407375,5.76674120807376,0.99999984591242
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"July-June",0.55101010078788,-3.41667420826373,4.51869440983949,0.999960021021035
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"August-June",-0.0398989901212122,-4.00758329917282,3.9277853189304,1
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"September-June",0.766919176515156,-2.98219009582902,4.51602844885934,0.999268555787551
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"October-June",-0.144444444666661,-7.17839693118798,6.88950804185466,0.999999999989275
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"November-June",0.055555555333339,-6.97839693118798,7.08950804185466,1
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"August-July",-0.590909090909092,-3.18836818804017,2.00655000622199,0.998424856829561
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"September-July",0.215909075727275,-2.03355648767923,2.46537463913378,0.999997729750466
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"October-July",-0.695454545454541,-7.05790396117598,5.6669948702669,0.999993727638996
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"November-July",-0.495454545454541,-6.85790396117598,5.8669948702669,0.999999562050994
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"September-August",0.806818166636368,-1.44264739677014,3.05628373004288,0.967692517981705
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"October-August",-0.104545454545448,-6.46699487026689,6.25790396117599,0.999999999998274
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"November-August",0.0954545454545512,-6.26699487026689,6.45790396117599,0.999999999999237
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"October-September",-0.911363621181816,-7.13985173045013,5.3171244880865,0.999940376293729
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"November-September",-0.711363621181817,-6.93985173045014,5.5171244880865,0.999991172459262
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,NA,"November-October",0.2,-8.4147972334791,8.8147972334791,0.99999999997137
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"April-March",0.102261492964464,-3.80280836470885,4.00733135063778,0.999999999924985
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"May-March",0.0580678695011441,-3.86308132567211,3.9792170646744,0.999999999999335
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"June-March",-0.332644906688216,-4.78909033875177,4.12380052537534,0.999999686540606
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"July-March",0.343070049950524,-3.68793651282622,4.37407661272727,0.999999117527383
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"August-March",-0.656537157176869,-4.68754371995362,3.37446940559988,0.999865499171369
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"September-March",0.159589000800881,-3.78654476060846,4.10572276221022,0.999999997591485
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"October-March",-0.733969175880193,-6.19197786343651,4.72403951167612,0.999968776416936
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"November-March",-0.0408219953202488,-5.49883068287656,5.41718669223607,1
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"May-April",-0.0441936234633201,-0.958044142244329,0.869656895317689,0.999999989992616
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"June-April",-0.43490639965268,-2.74133603196939,1.87152323266403,0.999597930529385
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"July-April",0.240808556986059,-1.06637378263519,1.54799089660731,0.999661705204228
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"August-April",-0.758798650141333,-2.06598098976258,0.548383689479913,0.658555261391905
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"September-April",0.0573275078364165,-0.95839067296135,1.07304568863418,0.999999965804873
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"October-April",-0.836230668844657,-4.74130052651797,3.06883918882866,0.998980110611637
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"November-April",-0.143083488284713,-4.04815334595803,3.7619863693886,0.99999999890381
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"June-May",-0.39071277618936,-2.72426330410337,1.94283775172466,0.999834382109153
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"July-May",0.28500218044938,-1.06945936810667,1.63946372900543,0.999101770793596
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"August-May",-0.714605026678013,-2.06906657523406,0.639856521878034,0.764221727084234
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"September-May",0.101521131299737,-0.974361687738794,1.17740395033827,0.999998013754405
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"October-May",-0.792037045381337,-4.71318624055459,3.12911214979191,0.999333061683051
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"November-May",-0.0988898648213928,-4.02003905999465,3.82225933035186,0.999999999944482
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"July-June",0.675714956638739,-1.83805929031924,3.18948920359671,0.994949005569971
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"August-June",-0.323892250488653,-2.83766649744663,2.18988199646932,0.999977537453247
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"September-June",0.492233907489096,-1.8830594888,2.86752730377819,0.99919605540221
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"October-June",-0.401324269191978,-4.85776970125553,4.05512116287158,0.999998623610655
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"November-June",0.291822911367967,-4.16462252069559,4.74826834343152,0.99999988879357
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"August-July",-0.999607207127392,-2.64525874522961,0.646044330974827,0.600951589736359
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"September-July",-0.183481049149643,-1.6086570869231,1.24169498862381,0.999977677304819
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"October-July",-1.07703922583072,-5.10804578860746,2.95396733694603,0.995152588217148
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"November-July",-0.383892045270772,-4.41489860804752,3.64711451750597,0.999997864777006
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"September-August",0.816126157977749,-0.609049879795708,2.24130219575121,0.674961851676394
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"October-August",-0.0774320187033246,-4.10843858148007,3.95357454407342,0.999999999993741
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"November-August",0.61571516185662,-3.41529140092013,4.64672172463337,0.999917293462138
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"October-September",-0.893558176681074,-4.83969193809042,3.05257558472827,0.99847633112652
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"November-September",-0.200410996121129,-4.14654475753047,3.74572276528821,0.999999985224791
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,NA,"November-October",0.693147180559945,-4.76486150699637,6.15115586811626,0.999979910787857
