"section","metric","value","month","n","mean","sd","se","median","min","max","analysis","test","W","p_value","df1","df2","F","comparison","mean_difference","lower_95_ci","upper_95_ci","p_adjusted"
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"August-June",-2.33553921568628,-10.1479888225056,5.47691039113306,0.984938981273503
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"September-June",1.95029411764706,-2.85022808453218,6.7508163198263,0.920113992616409
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"October-June",-0.743039215686283,-11.0457926559368,9.55971422456425,0.999998743588087
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"November-June",-1.11470588235295,-18.0438572732705,15.8144455085646,0.999999331685352
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"August-July",-1.74054347826088,-9.0177673546128,5.53668039809104,0.996097536583852
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"September-July",2.54528985507247,-1.32364176762012,6.41422147776505,0.480001379971917
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"October-July",-0.148043478260877,-10.0510908344058,9.75500387788405,0.999999999978689
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"November-July",-0.519710144927547,-17.2086221916746,16.1692019018195,0.999999996380155
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"September-August",4.28583333333334,-2.94157033171327,11.51323699838,0.615732559771386
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"October-August",1.5925,-10.0409465561375,13.2259465561375,0.999898343587988
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"November-August",1.22083333333333,-16.5495498122412,18.9912164789078,0.999999102826522
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"October-September",-2.69333333333334,-12.5598283203605,7.17316165369381,0.991217394991889
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"November-September",-3.06500000000001,-19.7322481740401,13.6022481740401,0.999275284557567
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"November-October",-0.37166666666667,-19.3690053416501,18.6256720083167,0.999999999859622
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"May-April",-0.382583546226638,-1.01686383311345,0.251696740660177,0.594478947624406
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"June-April",-0.422894399589319,-1.30226791177968,0.456479112601037,0.825379287028735
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"July-April",-0.488349895296031,-1.17302935998532,0.196329569393254,0.370197457780078
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"August-April",-1.45321283548148,-2.82211401491266,-0.0843116560503112,0.0285337838822391
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"September-April",0.0270236971493596,-0.63746119833458,0.6915085926333,0.999999976658413
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"October-April",0.109885018476372,-1.78083081845686,2.00060085540961,0.999999719230746
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"November-April",-0.46677129430442,-3.68833459865814,2.7547920100493,0.999851014793714
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"June-May",-0.0403108533626806,-0.951167731331594,0.870546024606232,0.999999957907419
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"July-May",-0.105766349069393,-0.830437617692952,0.618904919554166,0.999843535580833
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"August-May",-1.07062928925485,-2.45996471212771,0.318706133618021,0.270365715702791
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"September-May",0.409607243375998,-0.296014932102902,1.1152294188549,0.641607116643806
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"October-May",0.492468564703011,-1.41309404361806,2.39803117302408,0.993700947940958
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"November-May",-0.0841877480777816,-3.31448689864569,3.14611140249012,0.999999998957038
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"July-June",-0.0654554957067121,-1.01209943044525,0.881188439031825,0.999999061805578
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"August-June",-1.03031843589216,-2.54730202474806,0.486665152963729,0.436575178270262
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"September-June",0.449918096738679,-0.482224030909438,1.38206022438679,0.822621822452094
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"October-June",0.532779418065691,-1.46775929584119,2.53331813197257,0.992435617868975
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"November-June",-0.0438768947151011,-3.33109743702262,3.24334364759241,0.999999999990359
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"August-July",-0.964862940185453,-2.37791899154481,0.448193111173909,0.429301844869327
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"September-July",0.515373592445391,-0.235876792953219,1.266623977844,0.422925013647242
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"October-July",0.598234913772403,-1.32469081055118,2.52116063809599,0.981025429601638
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"November-July",0.0215786009916111,-3.21899343017722,3.26215063216045,1
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"September-August",1.48023653263084,0.0768543283677248,2.88361873689396,0.0304277135263341
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"October-August",1.56309785395786,-0.695828397814486,3.8220241057302,0.411176369013549
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"November-August",0.986441541177064,-2.46412530484615,4.43700838720027,0.98842490079214
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"October-September",0.0828613213270127,-1.83296684117204,1.99868948382606,0.999999964138164
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"November-September",-0.49379499145378,-3.73016043684971,2.74257045394215,0.999789349619731
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density",NA,NA,NA,NA,NA,NA,"November-October",-0.576656312780792,-4.26546743506079,3.11215480949921,0.99975229071685
